emp_no,first_name,last_name,birth_date,from_date,to_date,titles
10010,Duangkaew,Piveteau,1963-06-01,2000-06-26,1999-01-01,Engineer
10153,Heekeun,Majewski,1955-12-15,2000-01-08,1999-01-01,Assistant Engineer
10164,Jagoda,Braunmuhl,1956-01-19,2000-05-31,1999-01-01,Engineer
10179,Deniz,Duclos,1961-11-25,2000-01-25,1999-01-01,Engineer
10200,Vidya,Awdeh,1961-12-31,2000-10-03,1999-01-01,Engineer
10307,Nikolaos,Leaver,1955-07-20,2000-01-21,1999-01-01,Engineer
10317,Arie,Birge,1957-12-25,2000-07-05,1999-01-01,Staff
10354,Moto,Kusakari,1961-04-21,2000-03-03,2002-01-01,Senior Staff
10399,Guenter,Marchegay,1957-06-13,2000-01-26,1999-01-01,Staff
10412,Masoud,Fabrizio,1958-02-26,2000-05-19,1999-01-01,Engineer
10440,Akeel,Narahara,1959-04-10,2000-01-30,1999-01-01,Technique Leader
10456,Stepehn,Hardjono,1963-01-24,2000-01-06,1999-01-01,Staff
10593,Falguni,Kenevan,1952-07-24,2000-03-29,1999-01-01,Senior Engineer
10655,Remko,Dalton,1959-02-02,2000-11-22,1999-01-01,Senior Staff
10756,Paddy,Brizzi,1958-06-24,2000-12-16,1999-01-01,Senior Engineer
10817,Uri,Rullman,1958-10-02,2000-01-24,1999-01-01,Staff
10825,Fan,Fairtlough,1958-03-27,2000-06-03,1999-01-01,Engineer
10997,Alselm,Parascandalo,1959-08-30,2000-01-04,1999-01-01,Technique Leader
11012,Taegyun,Speckmann,1953-09-12,2000-03-16,1999-01-01,Staff
11032,Erez,Schaaf,1953-04-19,2000-12-15,1999-01-01,Staff
11172,Kristian,Sudkamp,1963-06-25,2000-06-20,1999-01-01,Senior Staff
11209,Xuejun,Penn,1964-06-25,2000-02-08,1999-01-01,Engineer
11243,Udi,Desikan,1955-06-14,2000-01-20,1999-01-01,Assistant Engineer
11277,Munehiro,Ritcey,1961-09-17,2000-09-15,1999-01-01,Senior Staff
11315,Neven,Meriste,1955-04-21,2000-01-18,2002-01-17,Staff
11609,Sigeru,Marrakchi,1964-08-27,2000-01-12,2000-02-14,Senior Staff
11634,Turgut,Fraisse,1961-02-19,2000-01-01,1999-01-01,Engineer
11862,Alejandra,Deville,1954-01-25,2000-11-22,1999-01-01,Engineer
